
2025/03/13 (12:33:33) | ===> btop++ v.1.4.0
2025/03/13 (12:33:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (12:33:49) | ===> btop++ v.1.4.0
2025/03/13 (12:33:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (12:33:56) | ===> btop++ v.1.4.0
2025/03/13 (12:33:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (12:34:48) | ===> btop++ v.1.4.0
2025/03/13 (12:34:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (12:40:22) | ===> btop++ v.1.4.0
2025/03/13 (12:40:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (12:55:48) | ===> btop++ v.1.4.0
2025/03/13 (12:55:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (13:02:44) | ===> btop++ v.1.4.0
2025/03/13 (13:02:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (13:02:52) | ===> btop++ v.1.4.0
2025/03/13 (13:02:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (13:06:22) | ===> btop++ v.1.4.0
2025/03/13 (13:06:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (13:08:08) | ===> btop++ v.1.4.0
2025/03/13 (13:08:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (13:09:36) | ===> btop++ v.1.4.0
2025/03/13 (13:09:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/14 (12:59:11) | ===> btop++ v.1.4.0
2025/03/14 (12:59:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/14 (15:26:04) | ===> btop++ v.1.4.0
2025/03/14 (15:26:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/14 (20:11:25) | ===> btop++ v.1.4.0
2025/03/14 (20:11:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/14 (20:12:42) | ===> btop++ v.1.4.0
2025/03/14 (20:12:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/14 (20:13:00) | ===> btop++ v.1.4.0
2025/03/14 (20:13:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/14 (20:13:26) | ===> btop++ v.1.4.0
2025/03/14 (20:13:26) | WARNING: Intel GPU: Failed to initialize PMU

